pursuer_baseline,evader_baseline,n_pursuers,n_evaders,pursuer_roles,evader_roles,episodes,evader_wins,evader_win_rate,avg_turns,avg_flag_transfers
1,1,4,4,"chase,chase,chase,chase","escape,support,support,support",20,0,0.0,11.0,1.0
1,1,4,6,"chase,chase,chase,chase","escape,support,support,support,support,support",20,0,0.0,11.0,1.0
1,1,4,8,"chase,chase,chase,chase","escape,support,support,support,support,support,support,support",20,20,1.0,200.0,65.0
1,1,6,4,"chase,chase,chase,chase,chase,chase","escape,support,support,support",20,0,0.0,11.0,1.0
1,1,6,6,"chase,chase,chase,chase,chase,chase","escape,support,support,support,support,support",20,0,0.0,11.0,1.0
1,1,6,8,"chase,chase,chase,chase,chase,chase","escape,support,support,support,support,support,support,support",20,0,0.0,11.0,1.0
1,1,8,4,"chase,chase,chase,chase,chase,chase,chase,chase","escape,support,support,support",20,0,0.0,11.0,1.0
1,1,8,6,"chase,chase,chase,chase,chase,chase,chase,chase","escape,support,support,support,support,support",20,0,0.0,11.0,1.0
1,1,8,8,"chase,chase,chase,chase,chase,chase,chase,chase","escape,support,support,support,support,support,support,support",20,0,0.0,11.0,1.0
1,2,4,4,"chase,chase,chase,chase","patrol,support,expand,expand",20,0,0.0,1.0,0.0
1,2,4,6,"chase,chase,chase,chase","patrol,support,support,expand,expand,expand",20,0,0.0,2.0,2.0
1,2,4,8,"chase,chase,chase,chase","patrol,support,support,support,expand,expand,expand,expand",20,0,0.0,2.0,2.0
1,2,6,4,"chase,chase,chase,chase,chase,chase","patrol,support,expand,expand",20,0,0.0,1.0,1.0
1,2,6,6,"chase,chase,chase,chase,chase,chase","patrol,support,support,expand,expand,expand",20,0,0.0,1.0,1.0
1,2,6,8,"chase,chase,chase,chase,chase,chase","patrol,support,support,support,expand,expand,expand,expand",20,0,0.0,1.0,1.0
1,2,8,4,"chase,chase,chase,chase,chase,chase,chase,chase","patrol,support,expand,expand",20,0,0.0,1.0,1.0
