dist_to_flag,dist_to_teammate,flag_pressure,graph_position,action,q_value,visit_count
far,near,low,central,flank,-1.3109,3944
far,near,low,peripheral,flank,-1.1852,216
far,near,med,central,intercept,-1.0988,232
far,near,high,central,flank,0.9278,534
far,near,high,peripheral,lurk,3.7105,311
far,near,med,peripheral,chase,-0.9941,50
far,far,med,central,lurk,-0.6211,10
far,far,low,central,lurk,-0.8571,5
far,far,low,peripheral,chase,-0.8382,24
far,far,high,central,lurk,6.4848,3
far,far,med,peripheral,lurk,-0.625,5
far,far,high,peripheral,chase,10.0,2
mid,near,low,central,chase,-0.9959,84
mid,near,med,peripheral,intercept,-0.8538,114
mid,near,high,peripheral,intercept,5.3996,1298
mid,near,high,central,flank,6.4324,1408
mid,near,low,peripheral,lurk,-0.5321,9
mid,near,med,central,intercept,-0.8896,43
mid,far,high,peripheral,chase,-0.3,2
mid,far,med,peripheral,intercept,-0.7227,2
near,near,high,peripheral,intercept,10.0,190
near,near,high,central,lurk,10.0,10
