episode,phase,pursuer_baseline,n_pursuers,n_evaders,winner,evader_win,turns,flag_transfers,total_reward,epsilon
0,train,1,4,4,Pursuers,0,5,2,33.644,0.2
1,train,1,4,4,Pursuers,0,17,3,186.423,0.2
2,train,1,4,4,Pursuers,0,11,2,108.682,0.2
3,train,1,4,4,Pursuers,0,11,2,108.682,0.2
4,train,1,4,4,Pursuers,0,11,3,109.682,0.2
5,train,1,4,4,Pursuers,0,19,7,209.242,0.2
6,train,1,4,4,Pursuers,0,21,18,261.88,0.2
7,train,1,4,4,Pursuers,0,46,43,623.014,0.2
8,train,1,4,4,Pursuers,0,14,10,130.038,0.2
9,train,1,4,4,Pursuers,0,26,26,322.82,0.2
10,train,1,4,4,Pursuers,0,23,20,277.371,0.2
11,train,1,4,4,Pursuers,0,16,16,186.659,0.2
12,train,1,4,4,Pursuers,0,104,87,1452.233,0.2
13,train,1,4,4,Pursuers,0,95,76,1352.057,0.2
14,train,1,4,4,Pursuers,0,9,9,89.698,0.2
15,train,1,4,4,Pursuers,0,52,49,684.015,0.2
16,train,1,4,4,Pursuers,0,11,9,108.723,0.2
17,train,1,4,4,Pursuers,0,8,8,77.799,0.2
18,train,1,4,4,Pursuers,0,26,26,322.906,0.2
19,train,1,4,4,Pursuers,0,89,57,1318.673,0.2
20,train,1,4,4,Pursuers,0,17,15,200.815,0.2
21,train,1,4,4,Pursuers,0,27,27,334.863,0.2
22,train,1,4,4,Pursuers,0,22,20,266.723,0.2
23,train,1,4,4,Pursuers,0,10,10,105.057,0.2
24,train,1,4,4,Pursuers,0,5,3,32.778,0.2
25,train,1,4,4,Pursuers,0,6,6,50.541,0.2
26,train,1,4,4,Pursuers,0,5,5,34.181,0.2
27,train,1,4,4,Pursuers,0,60,32,892.59,0.2
28,train,1,4,4,Pursuers,0,91,78,1265.506,0.2
29,train,1,4,4,Pursuers,0,12,12,132.142,0.2
30,train,1,4,4,Pursuers,0,10,10,105.057,0.2
