episode,phase,pursuer_baseline,n_pursuers,n_evaders,winner,evader_win,turns,flag_transfers,total_reward,epsilon
0,train,1,4,4,Pursuers,0,9,5,87.781,0.4
1,train,1,4,4,Pursuers,0,6,4,48.078,0.4
2,train,1,4,4,Pursuers,0,35,18,482.581,0.4
3,train,1,4,4,Pursuers,0,17,7,212.36,0.4
4,train,1,4,4,Pursuers,0,7,7,62.439,0.4
5,train,1,4,4,Pursuers,0,6,4,48.278,0.4
6,train,1,4,4,Pursuers,0,9,9,89.698,0.4
7,train,1,4,4,Pursuers,0,8,7,76.655,0.4
8,train,1,4,4,Pursuers,0,8,6,74.322,0.4
9,train,1,4,4,Pursuers,0,7,3,53.244,0.4
10,train,1,4,4,Pursuers,0,7,5,62.573,0.4
11,train,1,4,4,Pursuers,0,11,4,108.748,0.4
12,train,1,4,4,Pursuers,0,7,6,63.24,0.4
13,train,1,4,4,Pursuers,0,8,6,74.392,0.4
14,train,1,4,4,Pursuers,0,15,7,164.209,0.4
15,train,1,4,4,Pursuers,0,21,11,263.928,0.4
16,train,1,4,4,Pursuers,0,11,4,110.482,0.4
17,train,1,4,4,Pursuers,0,6,6,50.412,0.4
18,train,1,4,4,Pursuers,0,15,7,175.059,0.4
19,train,1,4,4,Pursuers,0,17,12,201.413,0.4
20,train,1,4,4,Pursuers,0,11,6,112.082,0.4
21,train,1,4,4,Pursuers,0,12,7,127.845,0.4
22,train,1,4,4,Pursuers,0,11,8,74.218,0.4
23,train,1,4,4,Pursuers,0,14,9,155.74,0.4
24,train,1,4,4,Pursuers,0,12,7,137.418,0.4
25,train,1,4,4,Pursuers,0,7,6,63.24,0.4
26,train,1,4,4,Pursuers,0,11,7,105.88,0.4
27,train,1,4,4,Pursuers,0,9,5,87.981,0.4
28,train,1,4,4,Pursuers,0,5,4,34.778,0.4
29,train,1,4,4,Pursuers,0,27,8,345.662,0.4
30,train,1,4,4,Pursuers,0,8,5,75.734,0.4
31,train,1,4,4,Pursuers,0,10,6,101.614,0.4
32,train,1,4,4,Pursuers,0,21,9,260.237,0.4
33,train,1,4,4,Pursuers,0,17,8,195.029,0.4
34,train,1,4,4,Pursuers,0,23,13,292.758,0.4
35,train,1,4,4,Pursuers,0,11,6,115.895,0.4
36,train,1,4,4,Pursuers,0,12,6,127.675,0.4
37,train,1,4,4,Pursuers,0,9,8,93.028,0.4
38,train,1,4,4,Pursuers,0,8,6,76.037,0.4
39,train,1,4,4,Pursuers,0,17,11,203.783,0.4
40,train,1,4,4,Pursuers,0,7,5,62.573,0.4
41,train,1,4,4,Pursuers,0,5,5,36.111,0.4
42,train,1,4,4,Pursuers,0,10,6,101.462,0.4
43,train,1,4,4,Pursuers,0,19,8,231.558,0.4
44,train,1,4,4,Pursuers,0,8,5,73.059,0.4
45,train,1,4,4,Pursuers,0,7,4,61.44,0.4
46,train,1,4,4,Pursuers,0,11,10,117.627,0.4
47,train,1,4,4,Pursuers,0,8,7,76.322,0.4
48,train,1,4,4,Pursuers,0,6,6,50.412,0.4
49,train,1,4,4,Pursuers,0,9,5,87.447,0.4
50,train,1,4,4,Pursuers,0,15,7,163.811,0.4
51,train,1,4,4,Pursuers,0,12,11,130.824,0.4
52,train,1,4,4,Pursuers,0,14,12,156.401,0.4
53,train,1,4,4,Pursuers,0,19,9,232.731,0.4
54,train,1,4,4,Pursuers,0,20,16,237.743,0.4
55,train,1,4,4,Pursuers,0,21,10,248.356,0.4
56,train,1,4,4,Pursuers,0,8,3,73.037,0.4
57,train,1,4,4,Pursuers,0,5,5,36.111,0.4
58,train,1,4,4,Pursuers,0,11,5,95.774,0.4
59,train,1,4,4,Pursuers,0,6,4,48.278,0.4
60,train,1,4,4,Pursuers,0,6,4,48.745,0.4
61,train,1,4,4,Pursuers,0,6,5,49.412,0.4
62,train,1,4,4,Pursuers,0,29,25,362.818,0.4
63,train,1,4,4,Pursuers,0,7,6,63.24,0.4
64,train,1,4,4,Pursuers,0,10,8,104.634,0.4
65,train,1,4,4,Pursuers,0,27,23,341.335,0.4
66,train,1,4,4,Pursuers,0,12,12,132.186,0.4
67,train,1,4,4,Pursuers,0,6,5,49.208,0.4
68,train,1,4,4,Pursuers,0,5,4,34.111,0.4
69,train,1,4,4,Pursuers,0,7,6,61.496,0.4
70,train,1,4,4,Pursuers,0,16,15,185.311,0.4
71,train,1,4,4,Pursuers,0,8,7,77.003,0.4
72,train,1,4,4,Pursuers,0,8,7,76.855,0.4
73,train,1,4,4,Pursuers,0,13,10,143.035,0.4
74,train,1,4,4,Pursuers,0,18,16,211.311,0.4
75,train,1,4,4,Pursuers,0,76,51,1095.673,0.4
76,train,1,4,4,Pursuers,0,20,15,236.718,0.4
77,train,1,4,4,Pursuers,0,23,19,283.187,0.4
78,train,1,4,4,Pursuers,0,12,11,131.342,0.4
79,train,1,4,4,Pursuers,0,12,11,131.142,0.4
80,train,1,4,4,Pursuers,0,6,6,50.412,0.4
81,train,1,4,4,Pursuers,0,21,20,253.974,0.4
82,train,1,4,4,Pursuers,0,7,6,61.773,0.4
83,train,1,4,4,Pursuers,0,15,12,176.123,0.4
84,train,1,4,4,Pursuers,0,16,16,186.644,0.4
85,train,1,4,4,Pursuers,0,18,16,177.019,0.4
86,train,1,4,4,Pursuers,0,5,2,32.111,0.4
87,train,1,4,4,Pursuers,0,14,13,158.24,0.4
88,train,1,4,4,Pursuers,0,18,17,213.088,0.4
89,train,1,4,4,Pursuers,0,16,16,186.688,0.4
90,train,1,4,4,Pursuers,0,6,5,49.412,0.4
91,train,1,4,4,Pursuers,0,21,13,261.021,0.4
92,train,1,4,4,Pursuers,0,17,12,200.123,0.4
93,train,1,4,4,Pursuers,0,7,7,62.439,0.4
94,train,1,4,4,Pursuers,0,12,11,130.142,0.4
95,train,1,4,4,Pursuers,0,11,10,117.18,0.4
96,train,1,4,4,Pursuers,0,16,14,184.496,0.4
97,train,1,4,4,Pursuers,0,6,5,47.293,0.4
98,train,1,4,4,Pursuers,0,9,7,87.364,0.4
99,train,1,4,4,Pursuers,0,7,7,62.439,0.4
100,train,1,4,4,Pursuers,0,8,7,78.318,0.4
101,train,1,4,4,Pursuers,0,8,8,77.67,0.4
102,train,1,4,4,Pursuers,0,41,30,550.167,0.4
103,train,1,4,4,Pursuers,0,13,12,147.142,0.4
104,train,1,4,4,Pursuers,0,7,6,61.591,0.4
105,train,1,4,4,Pursuers,0,134,79,1995.204,0.4
106,train,1,4,4,Pursuers,0,17,11,211.953,0.4
107,train,1,4,4,Pursuers,0,12,12,132.186,0.4
108,train,1,4,4,Pursuers,0,6,6,48.626,0.4
109,train,1,4,4,Pursuers,0,17,15,199.78,0.4
110,train,1,4,4,Pursuers,0,9,8,88.487,0.4
111,train,1,4,4,Pursuers,0,10,10,106.462,0.4
112,train,1,4,4,Pursuers,0,13,12,142.751,0.4
113,train,1,4,4,Pursuers,0,20,19,239.684,0.4
114,train,1,4,4,Pursuers,0,49,36,673.184,0.4
115,train,1,4,4,Pursuers,0,18,15,227.836,0.4
116,train,1,4,4,Pursuers,0,5,4,35.311,0.4
117,train,1,4,4,Pursuers,0,8,8,77.67,0.4
118,train,1,4,4,Pursuers,0,43,34,588.034,0.4
119,train,1,4,4,Pursuers,0,8,6,76.984,0.4
120,train,1,4,4,Pursuers,0,69,45,998.649,0.4
121,train,1,4,4,Pursuers,0,12,10,130.024,0.4
122,train,1,4,4,Pursuers,0,18,17,212.959,0.4
123,train,1,4,4,Pursuers,0,10,9,104.057,0.4
124,train,1,4,4,Pursuers,0,10,9,103.58,0.4
125,train,1,4,4,Pursuers,0,6,4,48.208,0.4
126,train,1,4,4,Pursuers,0,10,7,100.58,0.4
127,train,1,4,4,Pursuers,0,6,6,50.412,0.4
128,train,1,4,4,Pursuers,0,13,10,151.234,0.4
129,train,1,4,4,Pursuers,0,27,26,338.102,0.4
130,train,1,4,4,Pursuers,0,32,29,406.686,0.4
131,train,1,4,4,Pursuers,0,6,6,50.412,0.4
132,train,1,4,4,Pursuers,0,56,50,736.564,0.4
133,train,1,4,4,Pursuers,0,17,16,197.757,0.4
134,train,1,4,4,Pursuers,0,8,7,76.466,0.4
135,train,1,4,4,Pursuers,0,5,4,34.778,0.4
136,train,1,4,4,Pursuers,0,20,18,239.513,0.4
137,train,1,4,4,Pursuers,0,8,8,77.799,0.4
138,train,1,4,4,Pursuers,0,16,16,186.573,0.4
139,train,1,4,4,Pursuers,0,6,5,49.874,0.4
140,train,1,4,4,Pursuers,0,11,11,116.812,0.4
141,train,1,4,4,Pursuers,0,16,16,186.644,0.4
142,train,1,4,4,Pursuers,0,44,33,592.377,0.4
143,train,1,4,4,Pursuers,0,20,17,249.411,0.4
144,train,1,4,4,Pursuers,0,11,10,119.772,0.4
145,train,1,4,4,Pursuers,0,8,6,75.522,0.4
146,train,1,4,4,Pursuers,0,31,26,398.898,0.4
147,train,1,4,4,Pursuers,0,8,7,77.132,0.4
148,train,1,4,4,Pursuers,0,8,5,74.87,0.4
149,train,1,4,4,Pursuers,0,18,16,211.769,0.4
150,train,1,4,4,Pursuers,0,6,6,50.541,0.4
151,train,1,4,4,Pursuers,0,70,66,920.016,0.4
152,train,1,4,4,Pursuers,0,25,23,317.251,0.4
153,train,1,4,4,Pursuers,0,15,12,164.914,0.4
154,train,1,4,4,Pursuers,0,7,5,54.207,0.4
155,train,1,4,4,Pursuers,0,6,5,49.412,0.4
156,train,1,4,4,Pursuers,0,8,8,77.655,0.4
157,train,1,4,4,Pursuers,0,37,30,497.881,0.4
158,train,1,4,4,Pursuers,0,40,40,513.626,0.4
159,train,1,4,4,Pursuers,0,28,19,365.505,0.4
160,train,1,4,4,Pursuers,0,21,18,248.037,0.4
161,train,1,4,4,Pursuers,0,8,7,76.322,0.4
162,train,1,4,4,Pursuers,0,10,9,102.374,0.4
163,train,1,4,4,Pursuers,0,12,11,131.52,0.4
164,train,1,4,4,Pursuers,0,17,14,201.993,0.4
165,train,1,4,4,Pursuers,0,11,7,122.31,0.4
166,train,1,4,4,Pursuers,0,28,25,353.289,0.4
167,train,1,4,4,Pursuers,0,6,6,50.541,0.4
168,train,1,4,4,Pursuers,0,6,5,49.874,0.4
169,train,1,4,4,Pursuers,0,10,8,101.899,0.4
170,train,1,4,4,Pursuers,0,16,16,186.702,0.4
171,train,1,4,4,Pursuers,0,5,4,34.778,0.4
172,train,1,4,4,Pursuers,0,14,13,158.734,0.4
173,train,1,4,4,Pursuers,0,18,15,210.956,0.4
174,train,1,4,4,Pursuers,0,22,21,266.36,0.4
175,train,1,4,4,Pursuers,0,78,49,1148.686,0.4
176,train,1,4,4,Pursuers,0,12,11,130.042,0.4
177,train,1,4,4,Pursuers,0,59,38,853.475,0.4
178,train,1,4,4,Pursuers,0,5,4,34.778,0.4
179,train,1,4,4,Pursuers,0,40,27,539.343,0.4
180,train,1,4,4,Pursuers,0,14,13,158.386,0.4
181,train,1,4,4,Pursuers,0,16,13,185.136,0.4
182,train,1,4,4,Pursuers,0,38,32,495.497,0.4
183,train,1,4,4,Pursuers,0,70,68,932.046,0.4
184,train,1,4,4,Pursuers,0,14,10,169.858,0.4
185,train,1,4,4,Pursuers,0,11,10,115.479,0.4
186,train,1,4,4,Pursuers,0,41,28,565.772,0.4
187,train,1,4,4,Pursuers,0,38,24,522.562,0.4
188,train,1,4,4,Pursuers,0,12,12,132.028,0.4
189,train,1,4,4,Pursuers,0,11,9,118.164,0.4
190,train,1,4,4,Pursuers,0,31,29,392.015,0.4
191,train,1,4,4,Pursuers,0,15,14,171.71,0.4
192,train,1,4,4,Pursuers,0,6,5,49.541,0.4
193,train,1,4,4,Pursuers,0,10,8,103.257,0.4
194,train,1,4,4,Pursuers,0,8,7,77.132,0.4
195,train,1,4,4,Pursuers,0,26,17,338.346,0.4
196,train,1,4,4,Pursuers,0,10,9,104.128,0.4
197,train,1,4,4,Pursuers,0,22,22,268.175,0.4
198,train,1,4,4,Pursuers,0,9,7,87.221,0.4
199,train,1,4,4,Pursuers,0,8,7,76.466,0.4
0,eval,1,4,4,Evaders,1,200,200,,0.0
1,eval,1,4,4,Evaders,1,200,200,,0.0
2,eval,1,4,4,Evaders,1,200,200,,0.0
3,eval,1,4,4,Evaders,1,200,200,,0.0
4,eval,1,4,4,Evaders,1,200,200,,0.0
5,eval,1,4,4,Evaders,1,200,200,,0.0
6,eval,1,4,4,Evaders,1,200,200,,0.0
7,eval,1,4,4,Evaders,1,200,200,,0.0
8,eval,1,4,4,Evaders,1,200,200,,0.0
9,eval,1,4,4,Evaders,1,200,200,,0.0
10,eval,1,4,4,Evaders,1,200,200,,0.0
11,eval,1,4,4,Evaders,1,200,200,,0.0
12,eval,1,4,4,Evaders,1,200,200,,0.0
13,eval,1,4,4,Evaders,1,200,200,,0.0
14,eval,1,4,4,Evaders,1,200,200,,0.0
15,eval,1,4,4,Evaders,1,200,200,,0.0
16,eval,1,4,4,Evaders,1,200,200,,0.0
17,eval,1,4,4,Evaders,1,200,200,,0.0
18,eval,1,4,4,Evaders,1,200,200,,0.0
19,eval,1,4,4,Evaders,1,200,200,,0.0
0,train,1,4,6,Pursuers,0,5,2,45.726,0.4
1,train,1,4,6,Pursuers,0,8,6,111.148,0.4
2,train,1,4,6,Pursuers,0,16,12,294.653,0.4
3,train,1,4,6,Pursuers,0,12,6,179.82,0.4
4,train,1,4,6,Pursuers,0,19,6,303.677,0.4
5,train,1,4,6,Pursuers,0,7,5,91.783,0.4
6,train,1,4,6,Pursuers,0,11,3,130.437,0.4
7,train,1,4,6,Pursuers,0,11,5,139.545,0.4
8,train,1,4,6,Pursuers,0,13,8,222.917,0.4
9,train,1,4,6,Pursuers,0,35,22,706.16,0.4
10,train,1,4,6,Pursuers,0,7,3,21.601,0.4
11,train,1,4,6,Pursuers,0,21,7,364.624,0.4
12,train,1,4,6,Pursuers,0,9,3,117.717,0.4
13,train,1,4,6,Pursuers,0,8,4,42.932,0.4
14,train,1,4,6,Pursuers,0,19,13,272.99,0.4
15,train,1,4,6,Pursuers,0,9,5,114.258,0.4
16,train,1,4,6,Pursuers,0,10,3,119.705,0.4
17,train,1,4,6,Pursuers,0,17,9,305.351,0.4
18,train,1,4,6,Pursuers,0,15,9,271.956,0.4
19,train,1,4,6,Pursuers,0,13,8,209.619,0.4
20,train,1,4,6,Pursuers,0,33,17,675.915,0.4
21,train,1,4,6,Pursuers,0,8,5,104.944,0.4
22,train,1,4,6,Pursuers,0,6,5,70.659,0.4
23,train,1,4,6,Pursuers,0,13,5,209.423,0.4
24,train,1,4,6,Pursuers,0,9,7,124.244,0.4
25,train,1,4,6,Pursuers,0,13,8,230.309,0.4
26,train,1,4,6,Pursuers,0,11,6,178.028,0.4
27,train,1,4,6,Pursuers,0,59,33,1372.286,0.4
28,train,1,4,6,Pursuers,0,142,66,3364.775,0.4
29,train,1,4,6,Pursuers,0,77,52,1843.993,0.4
30,train,1,4,6,Pursuers,0,27,16,604.594,0.4
31,train,1,4,6,Pursuers,0,26,12,489.046,0.4
32,train,1,4,6,Pursuers,0,65,35,1553.645,0.4
33,train,1,4,6,Pursuers,0,14,8,225.086,0.4
34,train,1,4,6,Pursuers,0,15,4,253.536,0.4
35,train,1,4,6,Pursuers,0,71,36,1692.685,0.4
36,train,1,4,6,Pursuers,0,63,33,1398.047,0.4
37,train,1,4,6,Pursuers,0,13,6,172.605,0.4
38,train,1,4,6,Pursuers,0,20,13,401.847,0.4
39,train,1,4,6,Pursuers,0,6,6,76.607,0.4
40,train,1,4,6,Pursuers,0,25,14,516.793,0.4
41,train,1,4,6,Pursuers,0,11,4,120.816,0.4
42,train,1,4,6,Pursuers,0,33,23,716.432,0.4
43,train,1,4,6,Pursuers,0,8,4,99.124,0.4
44,train,1,4,6,Pursuers,0,7,5,96.322,0.4
45,train,1,4,6,Pursuers,0,20,13,391.695,0.4
46,train,1,4,6,Pursuers,0,28,16,595.072,0.4
47,train,1,4,6,Pursuers,0,28,17,606.243,0.4
48,train,1,4,6,Pursuers,0,88,62,2071.879,0.4
49,train,1,4,6,Pursuers,0,19,9,366.886,0.4
50,train,1,4,6,Pursuers,0,8,7,114.824,0.4
51,train,1,4,6,Pursuers,0,16,9,305.655,0.4
52,train,1,4,6,Pursuers,0,33,10,691.928,0.4
53,train,1,4,6,Pursuers,0,23,8,418.383,0.4
54,train,1,4,6,Pursuers,0,48,31,1062.889,0.4
55,train,1,4,6,Pursuers,0,91,49,2172.43,0.4
56,train,1,4,6,Pursuers,0,52,26,1164.06,0.4
57,train,1,4,6,Pursuers,0,8,5,101.729,0.4
58,train,1,4,6,Pursuers,0,41,21,905.786,0.4
59,train,1,4,6,Pursuers,0,32,21,678.209,0.4
60,train,1,4,6,Pursuers,0,7,5,92.518,0.4
61,train,1,4,6,Pursuers,0,6,5,74.873,0.4
62,train,1,4,6,Pursuers,0,9,4,126.049,0.4
63,train,1,4,6,Pursuers,0,7,6,93.252,0.4
64,train,1,4,6,Pursuers,0,37,19,777.36,0.4
65,train,1,4,6,Pursuers,0,8,8,116.273,0.4
66,train,1,4,6,Pursuers,0,116,83,2915.867,0.4
67,train,1,4,6,Pursuers,0,45,27,975.804,0.4
68,train,1,4,6,Pursuers,0,23,11,475.379,0.4
69,train,1,4,6,Pursuers,0,7,5,90.241,0.4
70,train,1,4,6,Pursuers,0,42,25,925.471,0.4
71,train,1,4,6,Pursuers,0,43,24,909.269,0.4
72,train,1,4,6,Pursuers,0,13,5,178.129,0.4
73,train,1,4,6,Pursuers,0,62,31,1327.249,0.4
74,train,1,4,6,Pursuers,0,19,11,355.023,0.4
75,train,1,4,6,Pursuers,0,29,16,608.275,0.4
76,train,1,4,6,Pursuers,0,25,14,525.655,0.4
77,train,1,4,6,Pursuers,0,37,21,810.882,0.4
78,train,1,4,6,Pursuers,0,12,8,204.662,0.4
79,train,1,4,6,Pursuers,0,6,6,76.607,0.4
80,train,1,4,6,Pursuers,0,25,15,530.672,0.4
81,train,1,4,6,Pursuers,0,22,13,403.61,0.4
82,train,1,4,6,Pursuers,0,30,15,589.024,0.4
83,train,1,4,6,Pursuers,0,6,4,71.193,0.4
84,train,1,4,6,Pursuers,0,6,5,74.607,0.4
85,train,1,4,6,Pursuers,0,15,8,170.096,0.4
86,train,1,4,6,Pursuers,0,33,17,730.823,0.4
87,train,1,4,6,Pursuers,0,20,8,364.847,0.4
88,train,1,4,6,Pursuers,0,72,38,1646.74,0.4
89,train,1,4,6,Pursuers,0,28,14,514.269,0.4
90,train,1,4,6,Pursuers,0,15,6,237.737,0.4
91,train,1,4,6,Pursuers,0,9,3,123.076,0.4
92,train,1,4,6,Pursuers,0,27,16,569.895,0.4
93,train,1,4,6,Pursuers,0,31,14,677.153,0.4
94,train,1,4,6,Pursuers,0,31,11,543.31,0.4
95,train,1,4,6,Pursuers,0,65,36,1570.516,0.4
96,train,1,4,6,Pursuers,0,14,8,241.34,0.4
97,train,1,4,6,Pursuers,0,18,9,332.258,0.4
98,train,1,4,6,Pursuers,0,17,10,283.756,0.4
99,train,1,4,6,Pursuers,0,29,14,591.074,0.4
100,train,1,4,6,Pursuers,0,16,13,312.505,0.4
101,train,1,4,6,Pursuers,0,73,44,1707.529,0.4
