dist_to_flag,dist_to_teammate,flag_pressure,graph_position,action,q_value,visit_count
carrier,near,low,peripheral,decoy,3.9666,697
carrier,near,high,peripheral,escape,2.8396,2169
carrier,near,med,peripheral,decoy,4.0451,453
carrier,near,med,central,escape,4.0705,247
carrier,near,high,central,escape,3.854,411
carrier,far,high,peripheral,handoff,1.0404,10
carrier,near,low,central,decoy,4.4294,9
carrier,far,high,central,escape,3.2369,1
carrier,far,med,central,decoy,3.2698,1
far,near,high,peripheral,support,1.8623,1957
far,near,med,peripheral,support,3.6641,3002
far,near,med,central,support,3.3126,1462
far,near,high,central,link,1.4344,1502
far,near,low,central,support,4.0138,1043
far,near,low,peripheral,support,4.0557,1385
far,far,med,peripheral,support,3.234,98
far,far,high,peripheral,support,1.3009,31
far,far,low,peripheral,link,4.0956,29
far,far,med,central,link,3.0977,9
far,far,high,central,support,1.1153,28
far,far,low,central,support,4.0437,69
mid,near,low,peripheral,support,3.8967,1594
mid,near,low,central,support,4.0295,1828
mid,near,high,peripheral,support,2.9074,3577
mid,near,high,central,link,2.3101,1937
mid,near,med,peripheral,link,3.6979,2689
mid,near,med,central,link,3.6778,1776
mid,far,high,central,link,3.6337,3
mid,far,high,peripheral,link,0.0407,4
mid,far,med,central,link,3.052,2
mid,far,med,peripheral,link,3.4421,1
near,near,low,peripheral,support,3.8973,1627
near,near,high,peripheral,support,2.8949,2800
near,near,high,central,link,1.5643,396
near,near,med,peripheral,support,4.0656,686
near,near,med,central,link,4.0599,260
near,near,low,central,link,4.1674,40
