dist_to_flag,dist_to_teammate,flag_pressure,graph_position,action,q_value,visit_count
far,near,low,central,flank,-0.8554,2697
far,near,low,peripheral,chase,-0.7699,278
far,far,low,peripheral,flank,-0.8535,161
far,near,med,peripheral,intercept,-0.5555,8
far,near,high,central,intercept,0.1313,778
far,near,high,peripheral,flank,0.8467,171
far,near,med,central,chase,-0.3147,178
far,far,high,peripheral,flank,-0.169,6
far,far,high,central,lurk,-0.1746,8
far,far,low,central,lurk,-0.8418,7
far,far,med,peripheral,flank,-0.4355,31
far,far,med,central,flank,0.0,1
mid,near,low,central,flank,-0.3906,98
mid,near,med,central,flank,-0.3487,298
mid,near,high,peripheral,chase,4.108,1793
mid,near,high,central,intercept,5.8151,853
mid,far,high,peripheral,intercept,0.2969,42
mid,near,med,peripheral,chase,-0.3621,117
mid,near,low,peripheral,flank,-0.3883,157
mid,far,high,central,lurk,0.0833,2
mid,far,low,peripheral,lurk,-0.4444,1
near,near,high,peripheral,intercept,10.0,268
near,near,high,central,intercept,10.0,2
